row ID,row m/z,row retention time,7p.mzML Peak area,4p.mzML Peak area,6p.mzML Peak area,1p.mzML Peak area,9p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,5p.mzML Peak area,12p.mzML Peak area,11p.mzML Peak area,13p.mzML Peak area,8p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area
2855,740.4146516,11.154326,37225.26,57732.07,27378.504,69813.27,60289.26,108082.06,50861.72,59503.688,16585.566,6066.437,17700.695,38386.992,31961.295,26377.043,41039.434
2856,796.4411118,10.868291,11736.711,17376.162,13257.588,19737.38,24283.78,43922.15,0,38622.9,16078.341,14542.987,37505.72,20206.994,57135.684,0,33738.156
2857,626.3703224,11.001846,0,17401.66,0,21225.125,0,15944.268,23976.559,11430.045,0,0,0,0,0,0,0
2858,796.4409767,10.96999,11736.711,26682.445,13257.588,14205.908,61504.473,7952.614,17222.5,65737.375,16078.341,14542.987,37505.72,54836.81,27120.729,0,12863.922
2859,750.3978926,10.979451,10164.296,0,0,0,8863.315,0,0,0,0,0,0,16896.213,0,0,0
2860,396.7446908,10.865376,0,12475.457,0,13056.241,0,15847.602,13903.801,25035.357,0,0,0,2684.4573,0,0,0
2861,351.2148857,11.031557,59003.934,2486.9058,34615.62,6035.855,17198.207,9962.768,11244.293,7631.2935,1765.44,3516.3267,1563.874,23217.178,2058.284,59836.54,6761.8013
2862,810.4566666,11.063343,0,39180.875,0,49125.79,2276.5579,13022.392,15673.227,137779.69,1498.2773,0,3436.9917,3272.4211,5224.993,0,11688.324
2863,726.3988384,11.052206,24518.686,34765.78,9812.746,24186.965,94652.36,32811.71,24478.49,28121.576,0,0,0,12044.402,0,16698.242,2241.858
2864,277.2166888,11.097498,20533.451,6972.035,12927.65,18037.893,17971.184,19639.797,13420.434,15777.084,5855.3403,3391.0354,3652.2683,20939.562,11234.528,28592.93,17491.783
2865,405.7343466,11.062003,0,55712.535,0,48999.09,2899.0327,58538.938,11460.283,41883.773,0,0,0,9558.017,9236.061,0,6185.4893
2866,826.4876088,11.062473,2277.4688,52814.754,5871.9917,64959.395,39504.79,47870.86,26098.994,29009.035,9364.381,6025.188,9541.596,12795.948,70759.13,0,97009.16
2867,584.3803021,11.052311,0,0,0,0,0,0,0,0,0,15417.559,0,0,0,0,0
2868,295.2273198,11.063866,30886.328,19727.904,25924.453,44653.258,27719.19,28728.932,76175.68,30648.26,16257.236,42431.33,9350.035,28132.844,0,298388.5,19704.18
2869,796.4409205,10.940405,11736.711,48636.387,13257.588,14475.285,24283.78,17987.383,17344.69,94248.39,14106.235,14542.987,36158.195,20206.994,86568.15,0,9207.806
2870,726.3989047,11.065978,15211.301,30214.559,9812.746,10919.178,20165.22,30611.71,15861.398,28121.576,0,0,0,16286.926,0,31161.043,2241.858
2871,363.7030278,11.127282,6793.8047,3702.239,0,0,8034.054,13499.333,11833.788,26449.951,0,0,0,11891.746,0,1820.1206,0
2872,552.3306832,10.903836,16720.434,8494.37,25171.076,14163.2705,35554.676,20646.652,0,34927.848,14638.608,5462.1206,8952.917,27761.049,17868.92,12897.982,6758.3467
2873,405.2437567,11.104487,0,10077.746,0,51245.414,0,50680.305,31179.875,70732.05,0,0,0,0,2710.9673,0,7680.878
2874,738.4194255,11.173852,0,4692.2407,0,2851.073,0,7936.4873,4693.285,12459.114,0,0,0,2067.3047,0,0,0
2875,812.4719191,11.131138,13829.835,57427.86,13304.717,76641.164,19902.863,31963.291,58386.965,32098.379,11661.255,5237.2026,19484.209,50717.406,36852.496,0,49555.164
2876,726.3987828,11.086214,53629.562,14232.949,9812.746,10214.24,19934.691,27459.244,32034.633,28121.576,0,0,0,45872.97,0,13349.834,2241.858
2877,812.4728851,11.186716,16264.084,26906.943,13304.717,28901.422,15683.735,44984.734,18908.195,35390.016,11661.255,5237.2026,20970.03,27595.68,13065.638,0,20502.299
2878,840.4670804,11.084402,0,0,0,0,0,0,10309.87,0,0,0,0,0,0,0,0
2879,414.3220513,11.080871,6578.1636,4036.6804,10095.352,9903.086,26417.021,4848.0938,10575.042,14876.062,4071.6702,17449.457,1762.9036,31263.902,4545.9414,0,26464.098
2880,353.2305154,11.105861,402483.34,160244.45,267371.78,178496.33,385906.3,47590.68,107335.016,89828.375,65677.266,44980.74,51726.523,422843.6,83525.03,100011.555,154898.89
