row ID,row m/z,row retention time,6p.mzML Peak area,7p.mzML Peak area,1p.mzML Peak area,4p.mzML Peak area,5p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,9p.mzML Peak area,11p.mzML Peak area,8p.mzML Peak area,12p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area,13p.mzML Peak area,18p.mzML Peak area,16p.mzML Peak area,20p.mzML Peak area,17p.mzML Peak area,19p.mzML Peak area
,,,DSM43815,DSM43815,DSM43168,DSM43168,DSM43168,DSM43168,DSM43168,DSM43815,2M254,DSM43815,2M254,2M254,DSM43815,2M254,2M254,CT,CT,CT,CT,CT
4269,198.1856663,18.930727,33313.145,31594.297,83453.5,17451.615,0,31446.143,20103.717,14483.234,20574.408,12573.593,19167.375,18940.816,9713.508,13260.99,32678.482,34103.695,13744.922,22060.89,17885.443,37703.316
4270,282.268743,18.83842,72845.06,41690.156,112878.49,124711.75,0,50001.27,84870.56,36754.55,54423.582,33729.32,0,59761.01,21662.746,0,103296.32,62600.008,68216.984,51249.51,111820.28,46248.797
4271,299.2377225,18.877516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7554.482,0,0,0,0,3703.4175
4272,165.1641176,18.946398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4273,212.2015177,18.934216,0,0,5642.212,0,0,0,0,0,0,0,0,4731.1465,0,0,0,0,0,0,0,0
4274,485.2909018,19.067553,0,29753.117,13130.23,34746.66,43713.812,39284.06,33223.93,36332.625,45931.6,20093.037,42712.934,60921.902,16498.615,25666.812,39129.293,47995.68,23238.879,41492.387,50874.637,42974.11
4275,189.1643163,18.938967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4276,210.1856978,18.858479,14132.31,7569.907,31473.164,32492.715,0,23148.21,4330.9707,5981.2095,8294.109,9255.052,9142.171,27011.848,4031.379,6227.776,23211.191,15515.927,16088.723,4381.31,22973.332,10668.169
4277,507.2728542,19.080164,49303.938,26933.92,17771.28,26265.855,43435.215,44800.465,35343.06,24855.389,0,29145.91,32396.904,66586.39,19356.633,39522.55,37188.8,15446.78,33572.84,39336.36,38402.445,0
4278,507.2727147,18.993212,77516.08,19583.92,41178.676,7415.921,43435.215,43947.508,16702.379,22724.715,71085.414,29145.91,18173.766,7685.6167,78150.76,15279.837,51608.37,72533.41,22590.816,20897.084,38402.445,40506.117
4279,156.1384686,18.860567,5287.3003,3452.7852,17697.605,5274.088,0,11748.45,0,4902.8457,5809.129,5625.137,7090.8296,19745.168,3436.0264,0,18025.646,9624.697,9868.988,3264.5542,17768.303,6163.951
4280,263.2373645,18.948023,810524.7,613237.7,1261085,1476680.4,518459.44,408789.44,1314726.2,1067665.2,1001924.25,376248.97,0,460427.38,479431.03,0,743462.56,624333.1,647220.3,537813.2,848686.94,633819.44
4281,179.1798865,18.981604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4282,224.2013842,18.859058,20335.834,6371.7046,16244.21,17616.219,0,14919.46,11209.139,6509.6367,18419.01,8635.201,10984.184,16793.473,5884.3467,0,24719.531,18676.73,28614.545,12015.516,25529.094,12742.34
4283,268.2639155,18.98474,19812.479,129938.07,182463.8,31800.07,36457.33,142967.5,113972.24,154177.45,56174.5,74686.76,113817.82,32115.896,70535.3,160964.25,45444.527,51745.58,179426.86,45718.18,195331.7,60288.824
4284,163.148497,18.986391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4285,578.4953448,18.874046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4286,281.2646087,18.983816,1156002,1268878.1,1589624.8,879131.8,559346.06,1349296.5,1399763.9,562764.6,1158426.5,783589.4,1146802.4,359668.94,434515.97,641844.9,665371,692428.1,605240,915435.2,870057.7,712116.75
4287,559.5216273,18.991772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4288,246.2301875,18.89444,32366.93,9206.493,47397.965,24368.176,5135.2812,20000.459,22813.225,15792.486,27093.582,18786.113,0,24760.805,15994.4375,11612.455,34460.29,72306.73,45859.887,20693.617,26586.43,19426.074
4289,280.2644498,18.983608,7267330.5,2348135,5497052,3680324.2,2853671.8,4125464.8,4099833.8,2935591.8,5948672.5,4043990.5,5814091.5,2391584.5,3256235.2,1436113.6,2933819.2,1553869.1,3054516,5686413.5,4603546,3751126.5
4290,198.1856553,18.876041,33313.145,19125.154,24789.97,17451.615,0,27550.61,20103.717,16510.727,31017.994,15326.5625,18999.113,14496.438,9713.508,13260.99,47683.34,18653.525,31947.8,22060.89,36511.906,27770.025
